,lead_time,avg_price_per_room,Y_pred,Y_test
75,18,116.8,0,0
17906,5,65.0,0,0
8681,2,91.68,0,0
27522,41,118.96,0,0
18906,84,134.1,0,0
28598,31,117.3,0,0
28147,135,89.25,0,1
6524,377,115.0,1,1
9047,31,75.0,0,0
19553,250,72.08,1,0
15505,5,67.0,0,0
36234,36,125.1,0,1
22716,73,38.67,0,0
7239,0,106.0,0,0
27180,1,65.0,0,0
17739,13,78.0,0,0
14278,65,114.3,0,0
16114,130,159.3,0,1
30192,60,167.04,0,0
27856,55,63.0,0,0
27799,92,95.2,0,1
19248,310,68.57,1,1
18676,320,90.0,1,0
18012,78,168.3,0,1
30013,33,147.9,0,1
29954,56,62.32,0,0
33151,38,97.1,0,0
13809,55,104.0,0,0
25914,77,75.0,0,0
8482,200,150.45,1,1
33588,4,66.0,0,0
13282,6,0.0,0,0
17228,96,68.0,0,1
17730,52,145.24,0,1
16663,47,135.0,0,0
27516,97,168.3,0,1
5986,258,110.0,1,1
31329,1,72.67,0,0
5927,66,137.7,0,0
2233,29,100.7,0,1
35492,41,69.29,0,0
1806,33,75.6,0,0
35997,42,104.42,0,0
31166,22,141.0,0,0
35673,68,79.56,0,1
28489,18,73.95,0,0
14301,16,187.0,0,0
34373,36,102.6,0,0
16887,0,124.0,0,0
23244,269,70.0,1,0
31852,0,230.0,0,0
21967,87,79.5,0,0
30576,61,79.2,0,0
1467,12,112.42,0,1
683,68,166.35,0,0
5729,4,205.0,0,0
27383,0,103.0,0,0
16140,1,79.0,0,0
4134,175,99.45,1,0
32079,134,89.25,0,0
8477,4,121.0,0,0
28866,150,76.5,0,0
14320,51,109.8,0,0
15764,1,90.0,0,0
4171,19,57.59,0,0
17618,1,129.0,0,0
9594,20,112.25,0,0
6628,145,65.0,0,0
13406,31,129.0,0,0
17645,0,79.0,0,0
1542,131,114.3,0,1
16030,4,0.0,0,0
32402,96,67.5,0,0
19476,273,76.46,1,0
19596,0,87.78,0,0
2308,93,109.83,0,0
9671,103,115.0,0,1
30283,0,82.0,0,0
21073,105,75.0,0,0
13731,5,124.0,0,1
17247,21,123.2,0,0
23611,96,79.2,0,0
1015,71,105.0,0,0
31593,2,145.0,0,0
8404,144,95.4,0,0
7260,169,137.7,1,1
24172,9,145.0,0,0
9862,213,130.0,1,1
30057,7,117.0,0,0
23440,1,155.54,0,0
13854,49,79.2,0,0
27039,57,90.67,0,0
34454,102,80.0,0,1
24208,7,119.0,0,1
19276,323,112.0,1,1
27487,291,115.0,1,1
29217,65,104.0,0,0
13533,6,157.0,0,0
19855,17,84.33,0,0
24637,108,94.5,0,0
35019,146,75.0,0,0
11185,112,100.0,0,0
25575,219,76.67,1,0
35749,45,94.5,0,0
23424,184,137.28,1,1
28623,127,90.0,0,0
29753,11,203.5,0,1
15471,221,89.2,1,1
24323,14,95.0,0,0
22195,139,99.45,0,0
11438,8,56.0,0,0
8856,85,100.0,0,0
24589,65,100.0,0,0
17508,12,65.0,0,0
23240,1,175.0,0,0
585,4,117.0,0,0
7083,93,105.0,0,0
15655,67,105.0,0,0
6643,43,126.9,0,1
8407,151,80.0,0,0
934,15,80.0,0,1
10588,88,187.85,0,1
29886,61,125.1,0,1
24549,110,142.2,0,0
32696,24,139.0,0,1
9442,0,170.0,0,0
10407,66,168.3,0,1
4033,146,116.23,0,0
13229,148,105.3,0,0
18234,37,105.0,0,0
1445,46,124.1,0,1
10146,73,149.4,0,1
3046,51,125.1,0,1
9619,128,90.0,0,1
9434,180,108.9,1,1
18979,117,122.94,0,0
18033,41,85.67,0,0
19193,59,78.35,0,0
29255,51,93.0,0,0
2695,130,155.7,0,0
19843,54,66.5,0,0
16459,230,137.0,1,1
14152,41,152.1,0,0
35246,16,138.0,0,0
1494,221,65.0,1,0
35229,259,89.0,1,1
800,105,65.0,0,0
33916,223,73.96,1,1
29685,42,94.5,0,0
35658,0,65.0,0,0
35813,34,134.1,0,0
15624,28,219.0,0,1
3833,55,104.0,0,0
20519,301,52.0,1,1
17060,97,121.5,0,0
5777,323,112.0,1,1
12004,110,85.87,0,0
12823,121,90.0,0,1
13675,36,91.0,0,0
16926,7,124.0,0,0
20017,56,63.75,0,1
10131,56,93.5,0,1
16199,151,71.0,0,0
13337,30,97.02,0,1
32073,39,101.5,0,0
16397,37,95.0,0,0
25111,16,129.0,0,1
33935,125,89.25,0,0
13306,42,86.4,0,1
8239,16,82.8,0,0
27762,38,137.33,0,0
12932,5,93.5,0,0
7449,53,122.0,0,0
6821,19,90.0,0,0
24109,11,111.0,0,0
24559,194,124.95,1,1
29859,35,100.1,0,0
5714,59,74.83,0,0
22744,279,110.0,1,1
13366,3,64.68,0,0
23591,75,105.0,0,1
21720,97,103.78,0,0
33957,1,154.5,0,0
33821,48,93.5,0,0
10602,6,114.0,0,0
18881,92,100.0,0,1
7225,43,124.1,0,0
24552,164,100.0,1,0
26338,16,105.25,0,0
8808,105,70.0,0,0
21302,3,104.0,0,0
3388,58,153.85,0,0
11802,219,108.0,1,1
22072,159,122.0,1,1
3012,111,137.7,0,1
12645,60,121.5,0,1
9439,39,101.5,0,0
5819,5,58.88,0,0
3940,114,75.0,0,0
1647,148,74.8,0,1
25734,8,116.33,0,0
11595,88,76.5,0,1
18087,42,60.0,0,0
1001,88,112.2,0,0
12282,359,70.0,1,0
8578,6,95.0,0,0
12411,53,127.6,0,0
23958,86,105.0,0,0
26447,107,79.22,0,0
1765,8,104.5,0,0
7277,125,155.7,0,0
32245,29,144.55,0,0
3355,173,114.75,1,1
9817,166,96.3,1,1
1671,69,162.3,0,1
2069,0,120.0,0,0
33798,3,139.0,0,1
11337,24,146.0,0,0
13606,11,96.41,0,0
35633,29,88.76,0,0
13012,175,152.15,1,1
25479,10,87.0,0,0
33272,89,107.1,0,0
13214,115,76.0,0,0
5805,138,72.5,0,0
1019,10,215.0,0,1
28568,179,90.95,1,0
16966,4,119.0,0,1
25859,11,95.0,0,0
29254,13,85.0,0,0
31454,42,97.63,0,0
29068,229,89.25,1,1
24362,53,118.8,0,0
30239,101,118.8,0,0
22927,308,52.0,1,1
25854,99,81.0,0,0
31948,56,56.83,0,0
5331,21,142.0,0,0
375,50,118.8,0,0
29027,134,80.75,0,0
30322,86,140.4,0,1
14101,92,90.0,0,0
29675,96,84.6,0,0
35730,8,72.38,0,0
16501,28,84.0,0,0
1055,42,118.5,0,0
24061,6,120.0,0,0
26001,64,101.52,0,0
21230,26,77.0,0,0
9373,12,93.0,0,0
6801,6,120.0,0,0
3844,14,95.0,0,0
21858,0,124.0,0,0
12619,16,107.0,0,0
15720,88,54.63,0,0
2446,4,112.5,0,0
3342,57,91.0,0,0
20681,36,112.0,0,0
5576,119,162.0,0,0
11288,30,161.1,0,0
11431,122,85.0,0,0
8824,8,84.0,0,0
11839,4,80.0,0,1
9647,160,90.0,1,1
32058,1,105.0,0,0
30633,53,131.14,0,1
26154,82,95.0,0,0
35379,12,65.0,0,0
28362,19,64.67,0,0
23793,26,158.33,0,1
26726,158,121.8,1,1
11111,33,125.1,0,0
18912,164,100.0,1,0
12458,41,105.9,0,0
16252,23,156.0,0,1
3235,152,114.3,1,1
10281,1,101.0,0,0
31094,121,90.0,0,1
11473,21,81.0,0,0
31212,192,137.7,1,1
13983,32,92.88,0,0
34483,134,135.15,0,0
6726,5,100.0,0,0
12889,78,83.85,0,0
34221,17,85.0,0,0
35884,25,129.0,0,0
17217,17,97.77,0,1
32655,222,100.58,1,1
4726,0,83.5,0,0
13070,247,115.0,1,1
30369,5,60.0,0,0
12630,72,108.0,0,0
6502,7,86.78,0,0
34798,30,96.3,0,0
5095,304,89.0,1,1
34462,4,132.08,0,0
12830,66,150.22,0,1
33399,10,134.5,0,0
26424,37,95.0,0,0
31225,72,81.3,0,0
16067,45,125.1,0,0
34609,81,65.0,0,0
22344,64,69.5,0,0
8135,45,126.0,0,0
30748,90,76.5,0,1
11712,150,101.0,0,0
8893,112,100.0,0,0
15094,256,90.95,1,1
19102,20,116.0,0,0
20549,32,104.0,0,1
34269,148,86.43,0,0
27792,151,80.0,0,0
35205,36,130.32,0,0
31963,245,75.0,1,1
34518,14,110.5,0,0
28810,4,120.5,0,0
23049,1,45.0,0,0
21854,14,138.0,0,0
3491,6,88.92,0,0
24332,192,95.0,1,0
16834,49,93.6,0,0
8629,0,80.0,0,0
11045,123,90.0,0,0
3376,131,94.5,0,1
27610,74,101.5,0,0
19634,1,152.0,0,0
15110,98,95.0,0,0
26949,47,105.3,0,0
